b010 WMI_ROAM_BTM_CONFIG_CMDID
4017 WMI_PDEV_CHECK_CAL_VERSION_EVENTID
4023 WMI_PDEV_SET_REORDER_TIMEOUT_VAL_CMDID
4032 WMI_PDEV_SET_AC_TX_QUEUE_OPTIMIZED_CMDID
4038 WMI_PDEV_DSM_FILTER_CMDID
5004 WMI_VDEV_MCC_BCN_INTERVAL_CHANGE_REQ_EVENTID
6003 WMI_PEER_FLUSH_TIDS_CMDID
6014 WMI_PEER_RESERVED8_EVENTID
6017 WMI_PEER_OPER_MODE_CHANGE_EVENTID
7006 WMI_MGMT_TX_CMDID
8001 WMI_TX_DELBA_COMPLETE_EVENTID
8002 WMI_TX_ADDBA_COMPLETE_EVENTID
8004 WMI_DELBA_SEND_CMDID
15002 WMI_VDEV_SPECTRAL_SCAN_ENABLE_CMDID
16007 WMI_GET_FW_MEM_DUMP_CMDID
18003 WMI_APFIND_EVENTID
21001 WMI_RESMGR_ADAPTIVE_OCS_ENABLE_DISABLE_CMDID
27007 WMI_OEM_DATA_EVENTID
29001 WMI_MODEM_POWER_STATE_CMDID
29002 WMI_CHAN_AVOID_UPDATE_CMDID
33001 WMI_PACKET_FILTER_CONFIG_CMDID
38005 WMI_NDP_INDICATION_EVENTID
43001 WMI_AUDIO_AGGR_ENABLE_CMDID
BBBBBBBBBBBBBBBBBBBBBB
