b010 WMI_ROAM_BTM_CONFIG_CMDID
3001 WMI_START_SCAN_CMDID
7001 WMI_MGMT_RX_EVENTID
3002 WMI_STOP_SCAN_CMDID
7002 WMI_PDEV_SEND_BCN_CMDID
3003 WMI_SCAN_CHAN_LIST_CMDID
7003 WMI_BCN_TMPL_CMDID
3004 WMI_SCAN_SCH_PRIO_TBL_CMDID
7004 WMI_BCN_FILTER_RX_CMDID
3005 WMI_SCAN_UPDATE_REQUEST_CMDID
7005 WMI_OFFLOAD_PROB_RESP_TX_STATUS_EVENTID
3006 WMI_SCAN_PROB_REQ_OUI_CMDID
3007 WMI_SCAN_ADAPTIVE_DWELL_CONFIG_CMDID
7007 WMI_PRB_TMPL_CMDID
7008 WMI_TBTTOFFSET_EXT_UPDATE_EVENTID
3008 WMI_SET_SCAN_DBS_DUTY_CYCLE_CMDID
7009 WMI_OFFCHAN_DATA_TX_SEND_CMDID
4001 WMI_PDEV_SET_REGDOMAIN_CMDID
4002 WMI_PDEV_SET_CHANNEL_CMDID
4003 WMI_PDEV_SET_PARAM_CMDID
8003 WMI_ADDBA_STATUS_CMDID
4004 WMI_PDEV_DUMP_EVENTID
4005 WMI_TX_PAUSE_EVENTID
8005 WMI_ADDBA_SET_RESP_CMDID
8006 WMI_SEND_SINGLEAMSDU_CMDID
4006 WMI_DFS_RADAR_EVENTID
4007 WMI_PDEV_SET_HT_CAP_IE_CMDID
4008 WMI_PDEV_TEMPERATURE_EVENTID
4009 WMI_PDEV_SET_DSCP_TID_MAP_CMDID
700a WMI_HOST_SWFDA_EVENTID
700b WMI_BCN_OFFLOAD_CTRL_CMDID
700c WMI_BSS_COLOR_CHANGE_ENABLE_CMDID
700d WMI_VDEV_BCN_OFFLOAD_QUIET_CONFIG_CMDID
700e WMI_FD_TMPL_CMDID
5001 WMI_VDEV_CREATE_CMDID
9001 WMI_STA_POWERSAVE_MODE_CMDID
5002 WMI_VDEV_STOPPED_EVENTID
9002 WMI_STA_POWERSAVE_PARAM_CMDID
5003 WMI_VDEV_START_REQUEST_CMDID
9003 WMI_STA_MIMO_PS_MODE_CMDID
9004 WMI_STA_TDCC_CONFIG_CMDID
5005 WMI_VDEV_TSF_REPORT_EVENTID
3a001 WMI_REG_CHAN_LIST_CC_EVENTID
5006 WMI_VDEV_STOP_CMDID
3a002 WMI_11D_SCAN_START_CMDID
5007 WMI_VDEV_ENCRYPT_DECRYPT_DATA_RESP_EVENTID
3a003 WMI_11D_SCAN_STOP_CMDID
5008 WMI_VDEV_ADD_MAC_ADDR_TO_RX_FILTER_STATUS_EVENTID
3a004 WMI_SET_INIT_COUNTRY_CMDID
5009 WMI_VDEV_GET_ARP_STAT_EVENTID
20001 WMI_TDLS_SET_STATE_CMDID
20002 WMI_TDLS_PEER_UPDATE_CMDID
20003 WMI_TDLS_SET_OFFCHAN_MODE_CMDID
400a WMI_PDEV_FIPS_EVENTID
400b WMI_PDEV_GREEN_AP_PS_ENABLE_CMDID
400c WMI_PDEV_GET_TPC_CONFIG_CMDID
400d WMI_PDEV_SET_BASE_MACADDR_CMDID
400e WMI_PDEV_TPC_EVENTID
400f WMI_PDEV_SET_LED_CONFIG_CMDID
6001 WMI_PEER_CREATE_CMDID
6002 WMI_PEER_DELETE_CMDID
6004 WMI_PEER_ESTIMATED_LINKSPEED_EVENTID
3f001 WMI_MOTION_DET_HOST_EVENTID
6005 WMI_PEER_ASSOC_CMDID
3b001 WMI_HW_DATA_FILTER_CMDID
3f002 WMI_MOTION_DET_BASE_LINE_HOST_EVENTID
6006 WMI_PEER_ADD_WDS_ENTRY_CMDID
